Bars, Displacements, Load comb.: ULS
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'
[-]	[m]	[mm]	[mm]	[mm]	[rad]	[rad]	[rad]
B.1.1	0.000	0.000	0.000	-0.000	0.000	0.000	0.000
B.1.1	0.324	0.000	0.000	-0.011	0.000	0.000	0.000
B.1.1	0.324	0.000	0.000	-0.011	0.000	0.000	0.000
B.1.1	0.649	0.000	0.000	-0.033	0.000	0.000	0.000
B.1.1	0.649	0.000	0.000	-0.033	0.000	0.000	0.000
B.1.1	0.973	0.000	0.000	-0.061	0.000	0.000	0.000
B.1.1	0.973	0.000	0.000	-0.061	0.000	0.000	0.000
B.1.1	1.297	0.000	0.000	-0.093	0.000	0.000	0.000
B.1.1	1.297	0.000	0.000	-0.093	0.000	0.000	0.000
B.1.1	1.622	0.000	0.000	-0.124	0.000	0.000	0.000
B.1.1	1.622	0.000	0.000	-0.124	0.000	0.000	0.000
B.1.1	1.946	0.000	0.000	-0.153	0.000	0.000	0.000
B.1.1	1.946	0.000	0.000	-0.153	0.000	0.000	0.000
B.1.1	2.270	0.000	0.000	-0.178	0.000	0.000	0.000
B.1.1	2.270	0.000	0.000	-0.178	0.000	0.000	0.000
B.1.1	2.595	0.000	0.000	-0.197	0.000	0.000	0.000
B.1.1	2.595	0.000	0.000	-0.197	0.000	0.000	0.000
B.1.1	2.919	0.000	0.000	-0.209	0.000	0.000	0.000
B.1.1	2.919	0.000	0.000	-0.209	0.000	0.000	0.000
B.1.1	3.243	0.000	0.000	-0.213	0.000	0.000	0.000
B.1.1	3.243	0.000	0.000	-0.213	0.000	0.000	0.000
B.1.1	3.568	0.000	0.000	-0.209	0.000	-0.000	0.000
B.1.1	3.568	0.000	0.000	-0.209	0.000	-0.000	0.000
B.1.1	3.892	0.000	0.000	-0.197	0.000	-0.000	0.000
B.1.1	3.892	0.000	0.000	-0.197	0.000	-0.000	0.000
B.1.1	4.216	0.000	0.000	-0.178	0.000	-0.000	0.000
B.1.1	4.216	0.000	0.000	-0.178	0.000	-0.000	0.000
B.1.1	4.541	0.000	0.000	-0.153	0.000	-0.000	0.000
B.1.1	4.541	0.000	0.000	-0.153	0.000	-0.000	0.000
B.1.1	4.865	0.000	0.000	-0.124	0.000	-0.000	0.000
B.1.1	4.865	0.000	0.000	-0.124	0.000	-0.000	0.000
B.1.1	5.189	0.000	0.000	-0.093	0.000	-0.000	0.000
B.1.1	5.189	0.000	0.000	-0.093	0.000	-0.000	0.000
B.1.1	5.514	0.000	0.000	-0.061	0.000	-0.000	0.000
B.1.1	5.514	0.000	0.000	-0.061	0.000	-0.000	0.000
B.1.1	5.838	0.000	0.000	-0.033	0.000	-0.000	0.000
B.1.1	5.838	0.000	0.000	-0.033	0.000	-0.000	0.000
B.1.1	6.162	0.000	0.000	-0.011	0.000	-0.000	0.000
B.1.1	6.162	0.000	0.000	-0.011	0.000	-0.000	0.000
B.1.1	6.487	0.000	0.000	-0.000	0.000	-0.000	0.000

